input_smiles,linker,output_smiles
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2ccc(N[*])cc2)cc([*])nc2c1C(C)(C)CN2,CC1=C(c2cc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)c3c(n2)NCC3(C)C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1nc(N)c(-c2cc(F)c(N[*])cc2)cc1[*],CC1=C(c2cnc(N)c(-c3ccc(NC(=O)NCc4scnc4C)c(F)c3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1c(N[*])cc(-c2nc([*])c3c(c2)cccn3)cc1,CC1=C(c2nc(-c3cccc(NC(=O)NCc4scnc4C)c3)cc3cccnc23)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2ccc(N[*])cc2)nc([*])c(Cl)cn1,CC1=C(c2nc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)ncc2Cl)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(N[*])cccc(Nc2nc([*])c(Cl)cn2)c1,CC1=C(c2nc(Nc3cccc(NC(=O)NCc4scnc4C)c3)ncc2Cl)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N([*])c1ccc(-c2c(N)nc([*])cn2)cc1,CC1=C(c2cnc(-c3ccc(NC(=O)NCc4scnc4C)cc3)c(N)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(N)c2c(cc(O[*])cc2)c(C)c1[*],CC1=C(c2nc(N)c3ccc(OC(=O)NCc4scnc4C)cc3c2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,Cc1cc(N[*])ccc1Nc1nc2c(cc1)[nH]c([*])n2,CC1=C(c2nc3nc(Nc4ccc(NC(=O)NCc5scnc5C)cc4C)ccc3[nH]2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(C)cc(N2CC(C)N([*])CC2)nc1[*],CC1=C(c2nc(C)cc(N3CCN(C(=O)NCc4scnc4C)C(C)C3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1cc(N2CCN([*])CC2)ccc1[*],CC1=C(c2ccc(N3CCN(C(=O)NCc4scnc4C)CC3)cc2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2n3cc(N[*])cc3c(N)cc2C)ccc([*])cc1C,CC1=C(c2ccc(Nc3c(C)cc(N)c4cc(NC(=O)NCc5scnc5C)cn34)c(C)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,N1([*])CCCC(c2cc([*])nc(C)n2)C1,CC1=C(c2cc(C3CCCN(C(=O)NCc4scnc4C)C3)nc(C)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(Nc2c(F)cc(N[*])cc2)cc([*])cc1,CC1=C(c2ccnc(Nc3ccc(NC(=O)NCc4scnc4C)cc3F)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1(N[*])c2c(cc3c(c2)nc([*])[nH]3)CC1,CC1=C(c2nc3cc4c(cc3[nH]2)CCC4NC(=O)NCc2scnc2C)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(Nc2ccc(N[*])cc2)nc([*])ccn1,CC1=C(c2ccnc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1(C)nc(Nc2cc(N[*])ccc2)nc([*])c1,CC1=C(c2cc(C)nc(Nc3cccc(NC(=O)NCc4scnc4C)c3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,n1c(Nc2ccc(N[*])cc2)cc([*])cc1,CC1=C(c2ccnc(Nc3ccc(NC(=O)NCc4scnc4C)cc3)c2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(C)(C)c1ccc(N[*])cc1Nc1nc([*])ccn1,CC1=C(c2ccnc(Nc3cc(NC(=O)NCc4scnc4C)ccc3C(C)C)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1cc(N[*])cc(-c2cc([*])c(N)nc2)c1,CC1=C(c2cc(-c3cccc(NC(=O)NCc4scnc4C)c3)cnc2N)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]NC1Cc2c(c3c(nc([*])[nH]3)cc2)C1,CC1=C(c2nc3ccc4c(c3[nH]2)CC(NC(=O)NCc2scnc2C)C4)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,c1cc(C)c(N[*])cc1Nc1nc([*])c(Cl)cn1,CC1=C(c2nc(Nc3ccc(C)c(NC(=O)NCc4scnc4C)c3)ncc2Cl)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C(C1CN([*])C1)Nc1nc([*])ccn1,CC1=C(c2ccnc(NCC3CN(C(=O)NCc4scnc4C)C3)n2)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,C1CN([*])c2c(cc(Nc3nc([*])c(F)cn3)cc2)C1,CC1=C(c2nc(Nc3ccc4c(c3)CCCN4C(=O)NCc3scnc3C)ncc2F)C(C)N=N1
n1cSc(CNC(=O)*)c1C|n1nC(C)c(*)c1C,[*]Nc1cc(Oc2c([*])cccn2)ccc1F,CC1=C(c2cccnc2Oc2ccc(F)c(NC(=O)NCc3scnc3C)c2)C(C)N=N1
